Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Genndy Tartakovsky,EducationCalifornia Institute of the Arts,1991–present,1970-01-17,"Moscow, Russian SFSR, Soviet Union","Animator, director, producer, screenwriter, storyboard artist",0,https://en.wikipedia.org/wiki/Genndy_Tartakovsky
Frank Tashlin,,1930–1972,1913-02-19,"Weehawken, New Jersey, U.S.","Animator, comics artist, children's writer, illustrator, screenwriter, film director",1,https://en.wikipedia.org/wiki/Frank_Tashlin
Jacques Tati,,,1907-10-09,"Le Pecq, France","Filmmaker, actor, screenwriter, director",1,https://en.wikipedia.org/wiki/Jacques_Tati
Bertrand Tavernier,,1960–present,1941-04-25,"Lyon, France","Film director, producer, screenwriter, actor",0,https://en.wikipedia.org/wiki/Bertrand_Tavernier
Alan Taylor,,1988–present,1959-05-08,,"Television director, film director",0,https://en.wikipedia.org/wiki/Alan_Taylor_(director)
Don Taylor,,1943–88,1920-12-13,"Freeport, Pennsylvania, U.S.",Actor and film director,1,https://en.wikipedia.org/wiki/Don_Taylor_(actor)
Ray Taylor,,1926–1949,"Born1 December 1888Perham, Minnesota United States","Perham, Minnesota United States",Film director,1,https://en.wikipedia.org/wiki/Ray_Taylor_(director)
Stanner E.V. Taylor,,1908–1929,1877-09-28,"St. Louis, Missouri, USA",,1,https://en.wikipedia.org/wiki/Stanner_E.V._Taylor
William Desmond Taylor,,1913–1922,1872-04-26,"County Carlow, Ireland","Director, actor",1,https://en.wikipedia.org/wiki/William_Desmond_Taylor
Lewis Teague,,1964–present,1938-03-08,"Brooklyn, New York, United States",Film directorTelevision directorFilm editor,0,https://en.wikipedia.org/wiki/Lewis_Teague
André Téchiné,,1966–present,1943-03-13,"Valence-d'Agen, Tarn-et-Garonne, France",Filmmaker,0,https://en.wikipedia.org/wiki/Andr%C3%A9_T%C3%A9chin%C3%A9
Julien Temple,,,1953-11-26,"Kensington, London, England",Director,0,https://en.wikipedia.org/wiki/Julien_Temple
Suzie Templeton,,,1967-02-08,"Hampshire, England","Writer, director, animator",0,https://en.wikipedia.org/wiki/Suzie_Templeton
Andy Tennant,EducationHomewood-Flossmoore High School,1978-present,1955-06-15,"Chicago, Illinois, United States","Screenwriter, director, actor, dancer",0,https://en.wikipedia.org/wiki/Andy_Tennant
George Terwilliger,,1940s,1882-02-27,New York CityUnited States,Film directorscreenwriterjournalist,1,https://en.wikipedia.org/wiki/George_Terwilliger
Duccio Tessari,,,1926-10-11,"Genoa, Liguria, Italy",Film director Screenwriter,1,https://en.wikipedia.org/wiki/Duccio_Tessari
Ted Tetzlaff,,,1903-06-03,"Los Angeles, California, United States","Film director, cinematographer",1,https://en.wikipedia.org/wiki/Ted_Tetzlaff
Wilhelm Thiele,,,1890-05-10,"Vienna, Austria",,1,https://en.wikipedia.org/wiki/Wilhelm_Thiele
Gerald Thomas,,1956–1993,1920-12-10,"Hull, East Riding of Yorkshire, England",Film director and editor,1,https://en.wikipedia.org/wiki/Gerald_Thomas
John G. Thomas,,,1948-01-19,United States,"Producer, film director, writer, film editor",0,https://en.wikipedia.org/wiki/John_G._Thomas
Ralph Thomas,,1956–1993,"Born10 August 1915Hull, East Riding of Yorkshire, England","Hull, East Riding of Yorkshire, England",film director,1,https://en.wikipedia.org/wiki/Ralph_Thomas
J. Lee Thompson,,1937–1989,1914-08-01,"Bristol, Gloucestershire, England",Film director,1,https://en.wikipedia.org/wiki/J._Lee_Thompson
Robert Thornby,,1911–1930,1888-03-27,"New York, New York, USA",Film director,1,https://en.wikipedia.org/wiki/Robert_Thornby
Billy Bob Thornton,,1974–present,1955-08-04,"Hot Springs, Arkansas, U.S.","Actor, filmmaker, singer, songwriter, musician",0,https://en.wikipedia.org/wiki/Billy_Bob_Thornton
Richard Thorpe,,,1896-02-24,"Hutchinson, Kansas, United States",Film director,1,https://en.wikipedia.org/wiki/Richard_Thorpe
Tian Zhuangzhuang,,1980-present,1952-04-23,"Beijing, China","Film director, producer, actor and professor at Beijing Film Academy",0,https://en.wikipedia.org/wiki/Tian_Zhuangzhuang
George Tillman Jr.,,,1969-01-26,"Milwaukee, Wisconsin, U.S.","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/George_Tillman_Jr.
Mihai Timofti,,1965–present,1948-09-19,,"Director, actor, musician, professor",0,https://en.wikipedia.org/wiki/Mihai_Timofti
Bruce Timm,,,1961-02-05,,"Artist, animator, writer, producer, director, actor",0,https://en.wikipedia.org/wiki/Bruce_Timm
Johnnie To,,,1955-04-22,Hong Kong,"Film director, producer",0,https://en.wikipedia.org/wiki/Johnnie_To
James Toback,,,1944-11-23,"Manhattan, New York City, U.S.","Screenwriter, film director",0,https://en.wikipedia.org/wiki/James_Toback
Norman Tokar,,1956–1979,1919-11-25,"Newark, New Jersey, U.S.",Film director,1,https://en.wikipedia.org/wiki/Norman_Tokar
Jan Tománek,,,Born14 February 1978Prague,Prague,Movie director and writer,0,https://en.wikipedia.org/wiki/Jan_Tom%C3%A1nek
Giuseppe Tornatore,,1985–present,1956-05-27,"Bagheria, Sicily, Italy","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Giuseppe_Tornatore
Miguel Contreras Torres,,1920 - 1967,"BornSeptember 28, 1899Morelia, Michoacán Mexico","Morelia, Michoacán Mexico","Film actor, screenwriter, film producer, film director",1,https://en.wikipedia.org/wiki/Miguel_Contreras_Torres
Ivan Tors,,1946–1980,1916-06-12,"Budapest, Austria-Hungary",,1,https://en.wikipedia.org/wiki/Ivan_Tors
André de Toth,,1939–1987,1913-05-15,"Makó, Austria-Hungary (now Hungary)",Film director,1,https://en.wikipedia.org/wiki/Andr%C3%A9_de_Toth
Laurent Touil-Tartour,,1991–present,1971-11-23,"Paris, France","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Laurent_Touil-Tartour
Viktor Tourjansky,,1913–1964,1891-03-04,"Kiev, Russian Empire (now Ukraine)","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Viktor_Tourjansky
Jacques Tourneur,,1931–1965,1904-11-12,"Paris, France",film director,1,https://en.wikipedia.org/wiki/Jacques_Tourneur
Maurice Tourneur,,,1876-02-02,"Paris, France",,1,https://en.wikipedia.org/wiki/Maurice_Tourneur
Wendy Toye,,1929–1997,1917-05-01,"London, England","Dancer, choreographer, actress; film, television and stage director",1,https://en.wikipedia.org/wiki/Wendy_Toye
Josh Trank,,2007–present,1984-02-19,"Los Angeles, California, U.S.","Film director, film producer, screenwriter, film editor, actor",0,https://en.wikipedia.org/wiki/Josh_Trank
David Trainer,,1976–present,,,"Television director, producer and writer",0,https://en.wikipedia.org/wiki/David_Trainer
Pablo Trapero,,,1971-10-04,"San Justo, Buenos Aires, Argentina","Film producer, film editor, film director",0,https://en.wikipedia.org/wiki/Pablo_Trapero
Scott Treleaven,,,,,"Artist, filmmaker",0,https://en.wikipedia.org/wiki/Scott_Treleaven
Jeff Tremaine,,1996–present,1966-09-04,"Rockville, Maryland, U.S.","Showrunner, filmmaker, magazine editor",0,https://en.wikipedia.org/wiki/Jeff_Tremaine
Laurence Trimble,,1910–1926,1885-02-15,"Robbinston, Maine, US",Director writer actor,1,https://en.wikipedia.org/wiki/Laurence_Trimble
Nadine Trintignant,,,1934-11-11,"Nice, France","Film director, screenwriter, producer, editor, novelist",0,https://en.wikipedia.org/wiki/Nadine_Trintignant
Jan Troell,,1966–present,1931-07-23,"Limhamn, Malmö, Sweden",Film director,0,https://en.wikipedia.org/wiki/Jan_Troell
François Truffaut,,1955–1984,1932-02-06,"Paris, France",Actorfilm criticfilmmakerproducerscreenwriter,1,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Truffaut
Ming-liang Tsai,,1989–present,1957-10-27,"Kuching, Crown Colony of Sarawak",Film director,0,https://en.wikipedia.org/wiki/Tsai_Ming-liang
Tsui Hark,,,1950-02-15,"Saigon, Vietnam","Film director, producer, presenter, screenwriter, actor",0,https://en.wikipedia.org/wiki/Hark_Tsui
Shinya Tsukamoto,,1989–present,1960-01-01,"Tokyo, Japan","Actor, director, writer, cinematographer, editor, producer, production designer/art director",0,https://en.wikipedia.org/wiki/Shinya_Tsukamoto
Stanley Tucci,,1982–present,1960-11-11,"Peekskill, New York, U.S.","Actor, writer, producer, director",0,https://en.wikipedia.org/wiki/Stanley_Tucci
Jon Turteltaub,,1989–present,1963-08-08,"New York City, New York, U.S.","Film director, film producer",0,https://en.wikipedia.org/wiki/Jon_Turteltaub
Frank Tuttle,EducationYale University,,1892-08-06,"New York City, New YorkUnited States",Hollywood film director and screenwriter,1,https://en.wikipedia.org/wiki/Frank_Tuttle
David Twohy,,1988–present,1955-10-18,"Los Angeles County, California, U.S.","Director, screenwriter",0,https://en.wikipedia.org/wiki/David_Twohy
Michael Tyburski,,2011–present,1984-08-08,,"Screenwriter, film director",0,https://en.wikipedia.org/wiki/Michael_Tyburski
Tom Tykwer,,1986–present,1965-05-23,"Wuppertal, North Rhine-Westphalia, West Germany","Film director, screenwriter, film composer",0,https://en.wikipedia.org/wiki/Tom_Tykwer
Edgar G. Ulmer,,,1904-09-17,"Olomouc, Austria-Hungary","Film director, set designer",1,https://en.wikipedia.org/wiki/Edgar_G._Ulmer
Ron Underwood,,1980–present,1953-11-06,"Glendale, California, U.S.","Film director, producer and television director",0,https://en.wikipedia.org/wiki/Ron_Underwood
Upendra,,1989 – present,"BornThekkatte, Kundapura Taluk, Udupi District, India","Thekkatte, Kundapura Taluk, Udupi District, India","Actor, Film maker, Producer, Lyricist Writer, Singer, Prajakiya founder",0,https://en.wikipedia.org/wiki/Upendra_(actor)
Kinka Usher,,1984–present,Born1960 (age 59–60)France,France,Director,0,https://en.wikipedia.org/wiki/Kinka_Usher
Peter Ustinov,,1940–2004,1921-04-16,"London, England","Actor, writer, filmmaker",1,https://en.wikipedia.org/wiki/Peter_Ustinov
Roger Vadim,,1950–1997,1928-01-26,"Paris, France","Film director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Roger_Vadim
Ladislao Vajda,,1932–1965,1906-08-18,"Budapest, Hungary",Film director,1,https://en.wikipedia.org/wiki/Ladislao_Vajda
Luis Valdez,,,1940-06-26,,"Film director, producer, writer, playwright, actor, teacher.",0,https://en.wikipedia.org/wiki/Luis_Valdez
W. S. Van Dyke,,1915–42,1889-03-21,"San Diego, California, U.S.","Film director, writer",1,https://en.wikipedia.org/wiki/W._S._Van_Dyke
Thurop Van Orman,,2000–present,1976-04-26,"Norfolk, Virginia, U.S.","Voice artist, animator, television writer, producer, director",0,https://en.wikipedia.org/wiki/Thurop_Van_Orman
Vanelle,,,"BornVanelle Lyn LeBlanc1972[2]Oakland, California","Oakland, California","Actor, director, writer, online producer",0,https://en.wikipedia.org/wiki/Vanelle
Erik Van Looy,,,1962-04-26,,Filmmaker & host on VIER,0,https://en.wikipedia.org/wiki/Erik_Van_Looy
Melvin Van Peebles,,1955–present,1932-08-21,"Chicago, Illinois, United States","Actor, director, screenwriter, playwright, composer",0,https://en.wikipedia.org/wiki/Melvin_Van_Peebles
Gus Van Sant,,1982–present,1952-07-24,"Louisville, Kentucky, U.S.","Film director, screenwriter, painter, photographer, musician, author",0,https://en.wikipedia.org/wiki/Gus_Van_Sant
Norman Thaddeus Vane,,,1928-07-07,"Brookhaven, New York","Film director, screenwriter, and producer",1,https://en.wikipedia.org/wiki/Norman_Thaddeus_Vane
Agnès Varda,,1951–2019,1928-05-30,"Ixelles, Brussels, Belgium","Director, screenwriter, editor, actor, producer, installation artist, photographer",1,https://en.wikipedia.org/wiki/Agn%C3%A8s_Varda
Ram Gopal Varma,,1989–present,1962-04-07,"Vijayawada, Andhra Pradesh, India",Director and Producer,0,https://en.wikipedia.org/wiki/Ram_Gopal_Varma
Petar B. Vasilev,,1954 – 1990,1918-06-26,"Kriva Bara village, Bulgaria",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Petar_B._Vasilev
Matthew Vaughn,,1996–present,1971-03-07,"Paddington, London, England","Producer, director, screenwriter",0,https://en.wikipedia.org/wiki/Matthew_Vaughn
Pam Veasey,,1985–present,1962-05-25,,"Television writer, producer and director",0,https://en.wikipedia.org/wiki/Pam_Veasey
Perry N. Vekroff,,1914-1922,1881-06-03,"Shumen, Bulgaria[1]","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Perry_N._Vekroff
Gore Verbinski,,1989–present,1964-03-16,"Oak Ridge, Tennessee, U.S.","Film director, screenwriter, producer, musician",0,https://en.wikipedia.org/wiki/Gore_Verbinski
Paul Verhoeven,,1960–present,1938-07-18,"Amsterdam, Netherlands",Director producer screenwriter,0,https://en.wikipedia.org/wiki/Paul_Verhoeven
Charles Vidor,,1929–1959,1900-07-27,"Budapest, Austria-Hungary (now Hungary)",Film director,1,https://en.wikipedia.org/wiki/Charles_Vidor
King Vidor,,1913–1980,1894-02-08,"Galveston, Texas, U.S.","Film director, producer, screenwriter",1,https://en.wikipedia.org/wiki/King_Vidor
Berthold Viertel,,,1885-06-28,"Vienna, Austria-Hungary",,1,https://en.wikipedia.org/wiki/Berthold_Viertel
Denis Villeneuve,,1990–present,1967-10-03,"Bécancour, Quebec, Canada",Film directorscreenwriterfilm producer,0,https://en.wikipedia.org/wiki/Denis_Villeneuve
Robert G. Vignola,,1906–1937,1882-08-05,"Trivigno, Basilicata, Kingdom of Italy","Actor, Screenwriter, and Film director",1,https://en.wikipedia.org/wiki/Robert_G._Vignola
Jean Vigo,,1930–1934,1905-04-26,"Paris, France",Film director,1,https://en.wikipedia.org/wiki/Jean_Vigo
Vijayakrishnan,,1975–present,1952-11-05,"Thiruvananthapuram, India","Film director, writer, film critic, film historian",0,https://en.wikipedia.org/wiki/Vijayakrishnan
Agusti Villaronga,,1976–present,1953-03-04,"Majorca, Spain","Film director, screenwriter, actor",0,https://en.wikipedia.org/wiki/Agusti_Villaronga
Thomas Vinterberg,,,1969-05-19,"Frederiksberg, Denmark","Film director, producer, screenwriter and actor",0,https://en.wikipedia.org/wiki/Thomas_Vinterberg
Luchino Visconti,,,1906-11-02,"Milan, Kingdom of Italy",,1,https://en.wikipedia.org/wiki/Luchino_Visconti
Biju Viswanath,,,,,"Film Director, Screenwriter, Director of Photography, Film Editor",0,https://en.wikipedia.org/wiki/Biju_Viswanath
Kasinadhuni Viswanath,,1957–present,1930-02-19,"Repalle, Madras Presidency, British India (now in Guntur district, Andhra Pradesh, India)",Film directorscreenwriteractor,0,https://en.wikipedia.org/wiki/Kasinadhuni_Viswanath
Jean-Marc Vallée,,1985–present,1963-03-09,"Montreal, Quebec, Canada","Film director, editor, producer",0,https://en.wikipedia.org/wiki/Jean-Marc_Vall%C3%A9e
Géza von Bolváry,,1920–1958,1897-12-26,"Budapest, Austria-Hungary","Actor, Screenwriter & Director",1,https://en.wikipedia.org/wiki/G%C3%A9za_von_Bolv%C3%A1ry
Josef von Sternberg,,,1894-05-29,"Vienna, Austria-Hungary",,1,https://en.wikipedia.org/wiki/Josef_von_Sternberg
Erich von Stroheim,,1914–1955,1885-09-22,"Vienna, Austria-Hungary","Actor, director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Erich_von_Stroheim
Lars von Trier,,1967–present,1956-04-30,"Kongens Lyngby, Denmark",Filmmaker,0,https://en.wikipedia.org/wiki/Lars_von_Trier
Margarethe von Trotta,,1968 – present,1942-02-21,"Berlin, Germany","Film director, screenwriter, actress",0,https://en.wikipedia.org/wiki/Margarethe_von_Trotta
Bernard Vorhaus,,,1904-12-25,"New York, New York",Film director,1,https://en.wikipedia.org/wiki/Bernard_Vorhaus
Kurt Voss,,1987 – present,"BornKurt Christopher Peter WössnerLos Angeles, California, U.S.","Los Angeles, California, U.S.","Film director, screenwriter, musician, songwriter",0,https://en.wikipedia.org/wiki/Kurt_Voss
The Wachowskis,,1994–present,1965-06-21,,"Film and television directors, writers, producers",0,https://en.wikipedia.org/wiki/The_Wachowskis
Michael Wadleigh,,,1942-09-24,"Akron, Ohio",Film director and cinematographer,0,https://en.wikipedia.org/wiki/Michael_Wadleigh
Wai Ka-Fai,,,Born1962 (age 57–58)Hong Kong,Hong Kong,"Director, producer",0,https://en.wikipedia.org/wiki/Wai_Ka-Fai
Stuart Walker,,,1888-03-04,"Augusta, Kentucky, US",Director producer,1,https://en.wikipedia.org/wiki/Stuart_Walker_(filmmaker)
David Wall,,,,,"Film, television Actor, Film Director",0,https://en.wikipedia.org/wiki/David_Wall_(actor)
Randall Wallace,,,1949-07-28,"Jackson, Tennessee","Screenwriter, film director, film producer, songwriter",0,https://en.wikipedia.org/wiki/Randall_Wallace
Richard Wallace,,1925–1949,1894-08-26,"Sacramento, California",Film director,1,https://en.wikipedia.org/wiki/Richard_Wallace_(director)
Raoul Walsh,,1909–1964,"BornMarch 11, 1887New York City, U.S.","New York City, U.S.","Director, actor",1,https://en.wikipedia.org/wiki/Raoul_Walsh
Charles Walters,,,1911-11-17,"Pasadena, CA",Director - Choreographer,1,https://en.wikipedia.org/wiki/Charles_Walters
James Wan,,1999–present,1977-02-26,"Kuching, Sarawak, Malaysia",Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/James_Wan
Sam Wanamaker,EducationArt Institute of Chicago,1934–1993,1919-06-14,"Chicago, Illinois, U.S.","Actor, director",1,https://en.wikipedia.org/wiki/Sam_Wanamaker
Wang Quan'an,,1990s-present,"Born1965Yan'an, Shaanxi","Yan'an, Shaanxi",Film director,0,https://en.wikipedia.org/wiki/Wang_Quan%27an
Wang Xiaoshuai,,1993-present,1966-05-22,"Shanghai, China","Film director, screenwriter, actor, film producer",0,https://en.wikipedia.org/wiki/Wang_Xiaoshuai
Wayne Wang,,1975–present,1949-01-12,British Hong Kong,"Director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Wayne_Wang
David S. Ward,,,1945-10-25,"Providence, Rhode Island","Film director, screenwriter, film teacher",0,https://en.wikipedia.org/wiki/David_S._Ward
Vincent Ward,,1978–present,1956-02-16,"Greytown, New Zealand","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Vincent_Ward_(director)
Ernest C. Warde,,1915-1923,"Born10 August 1874Liverpool, United Kingdom","Liverpool, United Kingdom",Actor Film director,1,https://en.wikipedia.org/wiki/Ernest_C._Warde
